team,league,country,analysis_status,strengths,risks_and_weaknesses,decision_notes,last_updated,confidence
Galatasaray,Süper Lig,Türkiye,aktif,"Üst düzey kadro kalitesi; zayıf rakiplere karşı kalite farkını net yansıtıyor","Konsantre ve dirençli orta sınıf rakiplere karşı beklenenden fazla zorlanabilir","Çorum karşısında zorlandı; Erzurum karşısında kalite farkını net gösterdi. Rakip karakteri mutlaka ayrıca değerlendirilmelidir.",2026-08-24,orta-yüksek
Fenerbahçe,Süper Lig,Türkiye,aktif,"As kadro seviyesi ve hücum kalitesi yüksek","Asensio/Kanté gibi ana oyuncular çıktıktan sonra takım dengesi ve yedek uyumu belirgin düşebiliyor","Konyaspor maçında 4-2 kazandı ancak değişikliklerden sonra rakip 6-7 ciddi pozisyon buldu; rotasyonlu maçlarda güven puanı düşürülmeli.",2026-08-24,yüksek
Beşiktaş,Süper Lig,Türkiye,aktif,"Önde baskısı belirgin güçlü taraf","Hücum organizasyonu dağınık; ilk baskı kırıldığında savunma tehdit altında; skor serileri oyun kalitesini olduğundan iyi gösterebilir","Alanyaspor yenilgisi mevcut karakter notlarını güçlendirdi. Favori olduğu deplasmanlarda otomatik tek yapılmamalı.",2026-08-24,yüksek
Trabzonspor,Süper Lig,Türkiye,aktif,"İç sahada sonuç alma gücü; kritik anlarda bireysel kalite","Örneklem henüz sınırlı","Başakşehir karşısında 2-1 kazandı; 1/1X tercihi doğru çalıştı. Şimdilik pozitif güven korunuyor.",2026-08-24,orta
İstanbul Başakşehir,Süper Lig,Türkiye,izleme,"Düzenli takım yapısı potansiyeli","Bu sezon için yeterli yeni gözlem yok","Trabzon deplasmanı sonucu tek başına kalıcı karakter kararı için yeterli değil.",2026-08-24,düşük
Tümosan Konyaspor,Süper Lig,Türkiye,aktif,"Rakip rotasyona döndüğünde pozisyon üretebildi","Üst düzey rakiplere karşı savunma direnci sınırlı olabilir","Fenerbahçe karşısında skor 4-2 olsa da son bölümde çok sayıda pozisyon buldu; maç içi rakip değişikliklerinden yararlanabiliyor.",2026-08-24,orta
Çaykur Rizespor,Süper Lig,Türkiye,aktif,"İç saha avantajı potansiyeli","Samsun karşısında beklentinin çok altında kaldı; güven seviyesi yeniden kalibre edilmeli","1X beklentisine rağmen 0-2 kaybetti. Bir sonraki maçlarda özellikle savunma ve tempo seviyesi izlenecek.",2026-08-24,orta
Samsunspor,Süper Lig,Türkiye,aktif,"Deplasmanda sonuç alma ve beklenenden güçlü performans sinyali","Güç artışının kalıcı olup olmadığı teyit edilmeli","Rize deplasmanında 2-0 kazandı. Sistemimizin düşük değerlemiş olabileceği takım; sonraki maçlar özel izleme.",2026-08-24,orta-yüksek
Arca Çorum FK,Süper Lig,Türkiye,aktif,"Diri oyun; iyi savunma; kontraya hızlı çıkış; başarılı transfer görüntüsü","Büyük maça yüksek konsantrasyon standarda dönüşmeyebilir; seyircisiz maçta iç saha avantajı ciddi azalıyor","Galatasaray'a karşı dirençliydi; Kasımpaşa'ya seyircisiz maçta 0-1 kaybetti. Seyirci/ceza durumu zorunlu kontrol.",2026-08-24,yüksek
Erzurumspor FK,Süper Lig,Türkiye,aktif,"Belirgin güçlü taraf henüz gözlenmedi","Kadronun lig seviyesinde yetersiz görünmesi; savunma hataları; geri pas ve geriden oyun kurulumunda ciddi problemler; sınırlı hücum kalitesi","Galatasaray karşısında bireysel hatalarla ağır kayıp. Küme düşme adayı olarak izleniyor.",2026-08-24,yüksek
